,EmployerId,Employees,SizeRange,ClientTenure,Industry,ClientStartDate,QuoteDate,Offered,ExistingProducts,NumUniqueProducts,SumPremium
21,509732597,12,10-49 EE,1793,I12,2013-27-05,2018-04-24,ProductX,Product4,1,14431
22,403499969,11,10-49 EE,5360,I22,2003-04-10,2018-06-07,ProductX,"Product4,Product2,Product3,Product1",4,20773
23,698413376,280,100-499 EE,4146,,2006-08-12,2018-04-15,ProductX,"Product4,Product3,Product2",3,20228
24,395120892,37,10-49 EE,4244,I27,2006-25-12,2018-08-08,ProductX,"Product1,Product2",2,7364
25,542296,13,10-49 EE,29109,I20,2099-26-04,2019-08-15,ProductX,"Product3,Product2",2,9463
26,535428217,41,10-49 EE,4514,I20,2007-22-02,2019-07-03,ProductX,"Product1,Product2",2,23605
27,494864005,64,50-99 EE,3217,I21,2009-25-05,2018-03-16,ProductX,"Product4,Product3,Product2",3,20080
28,459258,22,10-49 EE,6805,I02,2000-31-12,2019-08-19,ProductX,"Product3,Product1,Product2",3,29692
29,166381013,31,10-49 EE,5200,I24,2004-12-12,2019-03-09,ProductX,"Product4,Product2",2,22887
30,444434169,165,100-499 EE,3080,I27,2011-15-03,2019-08-20,ProductX,"Product4,Product1,Product2",3,11387
31,269476973,538,500-999 EE,1269,I22,2015-24-01,2018-07-16,ProductX,"Product3,Product2",2,21563
32,161056833,111,100-499 EE,7179,I02,2000-03-04,2019-11-29,ProductX,"Product2,Product3,Product1",3,25439
33,616274,125,100-499 EE,2858,I27,2010-11-03,2018-01-06,ProductX,"Product3,Product2",2,12947
34,536298300,658,500-999 EE,3402,I20,2009-26-07,2018-11-18,ProductX,"Product3,Product1,Product4",3,23889
35,581310,8,0-9 EE,4947,I11,2006-17-05,2019-12-02,ProductX,"Product4,Product2,Product3,Product1",4,14440
36,646895,15,10-49 EE,6833,I22,2000-17-03,2018-12-01,ProductX,"Product2,Product1,Product4",3,17728
37,656580673,49,10-49 EE,6309,,2000-08-11,2018-02-16,ProductX,"Product3,Product1",2,18558
38,221964957,12,10-49 EE,4946,I22,2005-24-09,2019-04-10,ProductX,"Product2,Product3,Product4",3,14018
39,657598591,101,100-499 EE,3501,,2009-14-10,2019-05-16,ProductX,"Product4,Product2,Product3,Product1",4,21404
40,494201,110,100-499 EE,29398,I27,2098-30-10,2018-05-05,ProductX,"Product2,Product3,Product4",3,33726
41,672932954,12,10-49 EE,998,,2016-14-01,2018-10-08,ProductX,"Product1,Product2",2,17167
42,705641900,35,10-49 EE,3347,,2008-05-12,2018-02-03,ProductX,"Product3,Product1,Product4",3,29759
43,367233397,12,10-49 EE,5026,I20,2004-25-09,2018-06-30,ProductX,"Product1,Product4",2,14362
44,694479812,42,10-49 EE,5655,,2003-10-03,2018-09-02,ProductX,"Product1,Product2",2,20691
45,534644865,155,100-499 EE,29342,I21,2098-29-07,2018-03-29,ProductX,"Product3,Product4",2,15568
46,528069294,17,10-49 EE,4813,I27,2006-28-02,2019-05-04,ProductX,Product3,1,8849
47,723754,107,100-499 EE,3874,I23,2007-31-07,2018-03-09,ProductX,"Product3,Product1,Product2",3,24228
48,594487131,100,100-499 EE,3571,I19,2008-18-05,2018-02-26,ProductX,"Product3,Product2",2,14028
49,650523687,45,10-49 EE,29156,I24,2098-20-02,2018-04-25,ProductX,"Product3,Product1",2,12510
50,680343,11,10-49 EE,1532,I21,2014-26-05,2018-08-05,ProductX,"Product3,Product2",2,32884
51,40724237,33,10-49 EE,6798,,2000-21-12,2019-08-02,ProductX,"Product2,Product3,Product1,Product4",4,24030
52,265395329,63,50-99 EE,5477,I27,2003-14-07,2018-07-12,ProductX,"Product4,Product2,Product3,Product1",4,24523
53,686828293,34,10-49 EE,2458,,2012-26-10,2019-07-20,ProductX,"Product2,Product3,Product4",3,27088
54,651566455,12,10-49 EE,3970,,2007-19-12,2018-11-01,ProductX,"Product3,Product1,Product4",3,21707
55,634157897,9,0-9 EE,6676,,2000-16-01,2018-04-27,ProductX,"Product3,Product1,Product2",3,22188
56,589509829,6,0-9 EE,2625,I11,2011-18-12,2019-02-24,ProductX,"Product2,Product3,Product1",3,29281
57,627697,12,10-49 EE,5767,I22,2003-09-03,2018-12-22,ProductX,Product2,1,9042
58,681779375,69,50-99 EE,3718,,2008-12-06,2018-08-17,ProductX,"Product4,Product1",2,37607
59,295437975,78,50-99 EE,1867,I19,2014-22-06,2019-08-02,ProductX,"Product4,Product1,Product2",3,8056
60,509433403,105,100-499 EE,7083,I25,2000-04-02,2019-06-27,ProductX,"Product3,Product1,Product4",3,18956
61,364472580,62,50-99 EE,7012,I20,2000-02-09,2019-11-14,ProductX,"Product4,Product3,Product1",3,13845
62,628704,39,10-49 EE,2703,I09,2010-06-11,2018-04-01,ProductX,"Product3,Product1,Product2",3,20796
63,509379,25,10-49 EE,4969,I14,2005-06-08,2019-03-15,ProductX,"Product4,Product2,Product3,Product1",4,34063
64,240178483,28,10-49 EE,3698,I27,2009-26-02,2019-04-13,ProductX,"Product2,Product4",2,29733
65,454171,36,10-49 EE,6529,I25,2000-07-11,2018-09-23,ProductX,"Product2,Product4",2,15679
66,591571408,31,10-49 EE,6651,I19,2000-06-01,2018-03-23,ProductX,"Product2,Product4",2,11422
67,629620,14,10-49 EE,2309,I01,2013-31-01,2019-05-29,ProductX,"Product4,Product1",2,13867
68,725056,11,10-49 EE,2362,I02,2012-26-05,2018-11-13,ProductX,"Product4,Product3,Product1",3,18923
69,608997208,33,10-49 EE,4231,,2006-03-08,2018-03-04,ProductX,"Product1,Product4",2,23059
70,666313326,158,100-499 EE,2260,,2012-27-02,2018-05-06,ProductX,"Product2,Product3,Product4",3,27841
71,507200670,30,10-49 EE,1415,I13,2015-13-04,2019-02-26,ProductX,Product4,1,14016
72,628483172,28,10-49 EE,29186,,2098-10-10,2018-11-13,ProductX,"Product3,Product2,Product1,Product4",4,32221
73,711419296,10,10-49 EE,5802,,2003-04-11,2019-09-23,ProductX,"Product1,Product2",2,20450
74,57155262,24,10-49 EE,3325,I09,2009-01-08,2018-09-08,ProductX,"Product4,Product1",2,7162
75,44617787,16,10-49 EE,1368,I12,2015-13-03,2018-12-10,ProductX,"Product2,Product4",2,13335
76,441926915,52,50-99 EE,1916,I22,2013-25-10,2019-01-23,ProductX,"Product4,Product2,Product1",3,17867
77,455061293,23,10-49 EE,5904,I27,2003-29-06,2019-08-28,ProductX,"Product3,Product2",2,12850
78,352811827,25,10-49 EE,4524,I23,2007-01-04,2019-08-20,ProductX,"Product2,Product3,Product4",3,30504
79,557630,24,10-49 EE,2422,I20,2012-10-07,2019-02-26,ProductX,"Product3,Product4",2,12007
80,778890,235,100-499 EE,634,I20,2016-03-12,2018-08-29,ProductX,"Product1,Product2",2,14626
81,193506932,30,10-49 EE,1572,I13,2014-15-03,2018-07-04,ProductX,"Product3,Product4",2,14412
82,369702476,45,10-49 EE,1813,I14,2013-12-02,2018-01-30,ProductX,"Product3,Product2",2,6834
83,204914347,5782,5000+ EE,4300,I26,2006-22-06,2018-03-31,ProductX,"Product4,Product3,Product2",3,21436
84,638602165,15,10-49 EE,3990,,2008-10-06,2019-05-14,ProductX,"Product4,Product1,Product2",3,25642
85,675416075,12,10-49 EE,29334,,2099-09-06,2019-02-15,ProductX,"Product3,Product4",2,21043
86,722463,39,10-49 EE,2302,I17,2012-23-03,2018-07-12,ProductX,"Product3,Product4",2,35965
87,157294701,52,50-99 EE,2663,I19,2012-17-02,2019-06-03,ProductX,"Product4,Product1",2,10100
88,651952460,75,50-99 EE,1516,,2014-06-11,2018-12-31,ProductX,"Product3,Product1",2,8843
89,681689333,86,50-99 EE,29098,I20,2098-08-09,2019-01-08,ProductX,"Product4,Product2,Product3,Product1",4,24050
90,519868,86,50-99 EE,29244,I27,2099-14-04,2019-03-21,ProductX,"Product4,Product1",2,8976
91,453506,24,10-49 EE,5622,I21,2003-22-02,2018-07-15,ProductX,"Product3,Product1,Product4",3,18525
92,34654246,40,10-49 EE,2629,I09,2011-02-03,2018-05-13,ProductX,"Product4,Product2",2,9814
93,491452439,617,500-999 EE,5803,I27,2002-10-12,2018-10-30,ProductX,"Product4,Product1",2,12655
94,615673390,6,0-9 EE,2880,I22,2011-30-12,2019-11-18,ProductX,"Product3,Product1,Product2",3,9975
95,650278212,94,50-99 EE,868,I12,2016-23-05,2018-10-08,ProductX,"Product3,Product1",2,9422
96,307370726,26,10-49 EE,29394,I22,2098-29-07,2018-02-05,ProductX,"Product2,Product3,Product1",3,41001
97,703130,32,10-49 EE,4051,I13,2008-24-08,2019-09-27,ProductX,"Product3,Product1",2,16494
98,281422713,32,10-49 EE,1316,I07,2014-08-06,2018-01-14,ProductX,"Product2,Product3,Product1",3,15244
99,300512128,372,100-499 EE,5709,I21,2002-07-11,2018-06-25,ProductX,"Product3,Product4",2,6402
100,788635,19,10-49 EE,3025,I19,2011-07-01,2019-04-20,ProductX,"Product3,Product1",2,14202
101,739080,75,50-99 EE,6968,I19,2000-19-10,2019-11-17,ProductX,"Product2,Product3,Product4",3,16482
102,707115428,36,10-49 EE,3903,,2007-10-09,2018-05-18,ProductX,"Product4,Product2,Product1",3,24572
103,641657,23,10-49 EE,4754,I12,2006-07-07,2019-07-13,ProductX,"Product3,Product1,Product2",3,32337
104,105917503,538,500-999 EE,1555,I12,2014-24-01,2018-04-28,ProductX,Product4,1,26818
105,664320958,14,10-49 EE,4497,,2006-08-11,2019-03-02,ProductX,"Product3,Product2",2,18169
106,497083448,16,10-49 EE,3131,,2010-26-01,2018-08-23,ProductX,"Product2,Product4",2,22355
107,485969,14,10-49 EE,29704,I19,2099-18-07,2018-03-21,ProductX,"Product3,Product1,Product2",3,24396
108,676846944,59,50-99 EE,2687,,2011-17-02,2018-06-27,ProductX,"Product4,Product2,Product1",3,15373
109,233005619,88,50-99 EE,4393,I20,2007-17-05,2019-05-27,ProductX,"Product4,Product2",2,8751
110,50062553,36,10-49 EE,2959,I02,2010-26-05,2018-07-02,ProductX,"Product1,Product4",2,15811
111,262017046,8,0-9 EE,6636,I22,2000-07-05,2018-07-08,ProductX,"Product3,Product4",2,16618
112,578494876,33,10-49 EE,29076,I20,2098-22-06,2018-11-13,ProductX,"Product3,Product1,Product4",3,22305
113,171333268,11,10-49 EE,3654,I27,2008-20-05,2018-05-22,ProductX,"Product2,Product3,Product4",3,39835
114,547151721,22,10-49 EE,2555,I27,2012-02-04,2019-04-01,ProductX,"Product3,Product1,Product2",3,21587
115,701966,29,10-49 EE,3606,I25,2008-17-10,2018-09-01,ProductX,"Product3,Product4",2,13973
116,640512,7,0-9 EE,2543,I20,2011-13-08,2018-07-30,ProductX,"Product3,Product4",2,10112
117,458751480,33,10-49 EE,4031,I19,2008-25-06,2019-07-09,ProductX,"Product4,Product3,Product1,Product2",4,33955
118,657576733,9,0-9 EE,3725,,2008-01-03,2018-05-13,ProductX,"Product3,Product1,Product4",3,21050
119,193458831,74,50-99 EE,2753,I26,2012-15-06,2019-12-29,ProductX,"Product3,Product4",2,19647
120,270850945,17,10-49 EE,29409,,2099-08-05,2018-10-31,ProductX,Product2,1,8864
121,575644870,28,10-49 EE,6463,,2001-23-04,2019-01-02,ProductX,"Product2,Product3,Product1,Product4",4,26491
122,229017942,21,10-49 EE,28936,I19,2098-29-04,2019-02-07,ProductX,"Product4,Product2,Product3,Product1",4,26469
123,297754047,14,10-49 EE,5951,I12,2003-24-02,2019-06-11,ProductX,"Product3,Product1,Product2",3,26022
124,286003340,36,10-49 EE,963,I27,2015-28-07,2018-03-17,ProductX,"Product3,Product1,Product2",3,15480
125,727581,44,10-49 EE,1241,I20,2016-12-06,2019-11-05,ProductX,"Product3,Product4",2,13445
126,677162383,63,50-99 EE,28796,,2098-16-05,2019-07-14,ProductX,"Product4,Product2,Product1",3,21737
127,75856934,14,10-49 EE,2281,I22,2012-05-09,2018-12-04,ProductX,"Product3,Product1",2,13458
128,326906260,15,10-49 EE,1028,I13,2015-16-05,2018-03-09,ProductX,"Product4,Product3,Product1",3,30519
129,600023965,30,10-49 EE,3777,I20,2008-25-04,2018-08-28,ProductX,Product3,1,11644
130,351502042,25,10-49 EE,3656,I27,2008-24-10,2018-10-28,ProductX,"Product4,Product1,Product2",3,21841
131,461586,26,10-49 EE,4274,I03,2007-27-11,2019-08-10,ProductX,"Product3,Product1,Product2",3,22338
132,152842407,103,100-499 EE,2924,I27,2010-02-08,2018-08-04,ProductX,"Product4,Product1,Product2",3,31342
133,383517853,57,50-99 EE,6807,I25,2001-23-04,2019-12-12,ProductX,"Product3,Product1",2,17066
134,621377798,171,100-499 EE,730,I26,2016-18-10,2018-10-18,ProductX,"Product4,Product3,Product2",3,19245
135,693961722,32,10-49 EE,6428,,2001-05-10,2019-05-12,ProductX,Product3,1,11417
136,273663798,73,50-99 EE,5597,I27,2003-03-02,2018-06-01,ProductX,"Product4,Product2,Product3,Product1",4,31202
137,737914,77,50-99 EE,1166,I27,2016-27-04,2019-07-07,ProductX,"Product1,Product2",2,25778
138,627032015,15,10-49 EE,3142,,2010-29-01,2018-09-06,ProductX,"Product4,Product2,Product1",3,17926
139,481728,35,10-49 EE,6075,I11,2001-28-06,2018-02-14,ProductX,"Product2,Product1",2,13903
140,544404,77,50-99 EE,4737,I11,2005-30-01,2018-01-19,ProductX,"Product3,Product1",2,12069
141,252095836,4,0-9 EE,1424,I27,2014-28-10,2018-09-21,ProductX,"Product4,Product3,Product2",3,26140
142,218221914,582,500-999 EE,29576,I20,2099-01-11,2018-11-10,ProductX,"Product3,Product4",2,23939
143,697786887,16,10-49 EE,5145,,2004-11-09,2018-10-13,ProductX,"Product4,Product1",2,27607
144,514422,21,10-49 EE,1955,I27,2013-05-05,2018-09-11,ProductX,"Product3,Product1,Product4",3,32891
145,547117,26,10-49 EE,2213,I27,2012-25-11,2018-12-17,ProductX,"Product4,Product2,Product3,Product1",4,24558
146,281779828,125,100-499 EE,2592,I23,2011-19-01,2018-02-23,ProductX,"Product2,Product3,Product1,Product4",4,24312
147,249297915,30,10-49 EE,28981,I23,2099-08-02,2019-10-05,ProductX,"Product4,Product3,Product2",3,34588
148,330341469,23,10-49 EE,3676,I07,2009-15-07,2019-08-08,ProductX,"Product3,Product1,Product2",3,35027
149,305027343,57,50-99 EE,4174,I27,2006-16-08,2018-01-19,ProductX,"Product4,Product1",2,6010
150,650460314,27,10-49 EE,6087,I20,2002-26-09,2019-05-27,ProductX,"Product2,Product3,Product1",3,10160
151,574900,2,0-9 EE,2193,,2013-11-10,2019-10-13,ProductX,"Product4,Product1,Product2",3,23342
152,505279153,68,50-99 EE,4458,I16,2007-13-04,2019-06-27,ProductX,"Product4,Product2,Product1",3,21145
153,44534374,34,10-49 EE,2957,I13,2011-29-01,2019-03-05,ProductX,Product2,1,11572
154,667906663,274,100-499 EE,5930,I27,2003-26-04,2019-07-21,ProductX,"Product2,Product3,Product1,Product4",4,19228
155,682396063,27,10-49 EE,29519,,2099-21-08,2018-10-26,ProductX,"Product4,Product1",2,14151
156,689548262,10,10-49 EE,5679,,2003-17-12,2019-07-05,ProductX,"Product4,Product2,Product1",3,18866
157,672827717,37,10-49 EE,29029,,2099-10-02,2019-08-20,ProductX,"Product2,Product1",2,15336
158,557782318,71,50-99 EE,5428,I24,2004-11-09,2019-07-23,ProductX,"Product2,Product4",2,34637
159,645022,10,10-49 EE,5767,I17,2003-08-01,2018-10-23,ProductX,"Product4,Product3,Product2",3,18990
160,787838,55,50-99 EE,5170,I20,2004-20-12,2019-02-15,ProductX,"Product4,Product1",2,17437
161,29863314,112,100-499 EE,4444,I14,2005-14-11,2018-01-14,ProductX,"Product1,Product4",2,22464
162,444258,51,50-99 EE,2492,I23,2012-24-03,2019-01-19,ProductX,"Product3,Product4",2,12972
163,674611210,105,100-499 EE,6247,,2001-03-06,2018-07-11,ProductX,"Product3,Product1",2,16955
164,659372686,21,10-49 EE,4716,,2005-05-05,2018-04-03,ProductX,"Product2,Product3,Product1",3,31464
165,611560,5,0-9 EE,2055,I20,2014-27-01,2019-09-13,ProductX,"Product2,Product4",2,25147
166,494162,30,10-49 EE,4638,I19,2005-10-12,2018-08-22,ProductX,"Product3,Product4",2,12552
167,603651556,24,10-49 EE,1522,,2014-29-12,2019-02-28,ProductX,"Product2,Product3,Product1",3,33267
168,628327405,56,50-99 EE,4845,I20,2006-13-05,2019-08-18,ProductX,"Product3,Product1",2,6513
169,443419993,14,10-49 EE,750,I12,2016-28-08,2018-09-17,ProductX,"Product2,Product3,Product1",3,20066
170,617078,22,10-49 EE,1637,I12,2014-15-05,2018-11-07,ProductX,"Product2,Product1",2,15111
171,562046,84,50-99 EE,4384,I20,2006-11-03,2018-03-12,ProductX,"Product4,Product2",2,11246
172,425337378,20,10-49 EE,2031,I27,2013-02-09,2019-03-26,ProductX,"Product2,Product1,Product4",3,19378
173,670911652,18,10-49 EE,5122,I11,2004-20-11,2018-11-29,ProductX,"Product4,Product3,Product2",3,18425
174,109840031,7,0-9 EE,4272,I09,2006-27-10,2018-07-08,ProductX,"Product1,Product2",2,25446
175,638187,30,10-49 EE,29376,I25,2098-30-12,2018-07-27,ProductX,"Product3,Product4,Product1,Product2",4,24764
176,824119,39,10-49 EE,2681,I23,2012-05-07,2019-11-07,ProductX,"Product4,Product2",2,15948
177,616843624,451,100-499 EE,29774,I19,2099-10-10,2018-04-04,ProductX,"Product2,Product1,Product4",3,31543
178,515995745,27,10-49 EE,5341,I23,2004-12-06,2019-01-26,ProductX,"Product4,Product1",2,12155
179,695937836,21,10-49 EE,6757,,2000-07-02,2018-08-08,ProductX,"Product3,Product1,Product2",3,17069
180,805910,8,0-9 EE,6333,I15,2002-07-06,2019-10-09,ProductX,"Product4,Product2,Product3,Product1",4,23905
181,539186,380,100-499 EE,2192,I13,2012-14-05,2018-05-15,ProductX,"Product3,Product1",2,9263
182,150892848,29,10-49 EE,5017,I25,2006-31-03,2019-12-25,ProductX,"Product4,Product1",2,24991
183,635710940,26,10-49 EE,6080,,2003-24-01,2019-09-17,ProductX,"Product3,Product4",2,8649
184,673557544,23,10-49 EE,4889,I19,2005-02-01,2018-05-23,ProductX,Product3,1,14280
185,229915699,12,10-49 EE,6655,I24,2000-07-08,2018-10-27,ProductX,"Product4,Product1,Product2",3,18568
186,405454146,41,10-49 EE,29295,I09,2099-02-11,2019-08-19,ProductX,"Product4,Product1,Product2",3,21901
187,626296,3082,1000-4999EE,28903,I08,2098-31-07,2019-06-13,ProductX,"Product4,Product2,Product3,Product1",4,32736
188,687313339,34,10-49 EE,1184,,2016-31-03,2019-06-28,ProductX,"Product3,Product2",2,20197
189,173630610,48,10-49 EE,1064,I15,2016-23-09,2019-08-23,ProductX,"Product3,Product4",2,5406
190,629803,15,10-49 EE,3616,I02,2009-07-05,2019-04-01,ProductX,Product3,1,8517
191,440635,16,10-49 EE,3303,I27,2010-15-06,2019-07-01,ProductX,Product2,1,10722
192,386662269,151,100-499 EE,2650,I12,2012-27-06,2019-09-29,ProductX,"Product2,Product1",2,32678
193,592932,16,10-49 EE,6450,I24,2000-02-06,2018-01-29,ProductX,"Product4,Product1,Product2",3,19325
194,195572971,222,100-499 EE,2316,I27,2013-09-06,2019-10-12,ProductX,"Product2,Product3,Product4",3,15032
195,464574884,20,10-49 EE,2419,I20,2012-20-11,2019-07-06,ProductX,"Product4,Product2,Product3,Product1",4,29096
196,507293,10,10-49 EE,2941,I12,2010-20-11,2018-12-09,ProductX,"Product4,Product1",2,16457
197,557644,21,10-49 EE,920,I24,2016-31-03,2018-10-07,ProductX,"Product2,Product1,Product4",3,7989
198,568880441,96,50-99 EE,1135,I08,2016-25-04,2019-06-04,ProductX,"Product4,Product2",2,8817
199,528336550,30,10-49 EE,5297,I09,2004-28-08,2019-02-28,ProductX,"Product4,Product2",2,15758
200,866690,120,100-499 EE,2449,I27,2011-04-10,2018-06-18,ProductX,"Product2,Product1,Product4",3,29506
201,644531058,62,50-99 EE,5253,,2005-10-06,2019-10-28,ProductX,"Product3,Product4,Product1,Product2",4,20422
202,125064557,11,10-49 EE,6277,I02,2002-06-01,2019-03-15,ProductX,"Product4,Product3,Product1",3,34980
203,479659,376,100-499 EE,6378,I23,2001-29-07,2019-01-14,ProductX,"Product2,Product3,Product4",3,23757
204,710056948,40,10-49 EE,4678,,2006-04-08,2019-05-26,ProductX,"Product3,Product4",2,20045
205,621227627,92,50-99 EE,1297,I21,2016-09-01,2019-07-29,ProductX,"Product3,Product1,Product4",3,19915
206,145047146,30,10-49 EE,1221,I24,2015-09-02,2018-06-14,ProductX,"Product3,Product4",2,26073
207,589797439,43,10-49 EE,2632,,2011-30-01,2018-04-15,ProductX,"Product3,Product4",2,10345
208,463294601,301,100-499 EE,6329,I21,2002-20-04,2019-08-18,ProductX,Product3,1,9875
209,647127516,68,50-99 EE,2374,,2012-28-04,2018-10-28,ProductX,"Product2,Product1,Product4",3,14917
210,229223902,156,100-499 EE,29315,I25,2099-21-04,2019-01-16,ProductX,"Product3,Product4",2,15737
211,617685512,98,50-99 EE,2523,I01,2012-24-08,2019-07-22,ProductX,"Product3,Product1",2,14566
212,439776913,28,10-49 EE,5058,,2005-07-09,2019-07-14,ProductX,"Product3,Product2,Product1,Product4",4,33328
213,751611,32,10-49 EE,4146,I27,2008-03-01,2019-05-11,ProductX,"Product3,Product1",2,11092
214,867566,81,50-99 EE,1751,I22,2014-24-06,2019-04-10,ProductX,"Product2,Product4",2,14398
215,588182211,60,50-99 EE,2099,,2012-09-06,2018-03-09,ProductX,"Product3,Product1",2,3957
216,555345255,48,10-49 EE,28687,I20,2098-11-02,2019-07-29,ProductX,"Product3,Product1",2,15865
217,136788836,51,50-99 EE,4383,I09,2006-02-08,2018-08-02,ProductX,"Product4,Product1,Product2",3,21564
218,498326688,111,100-499 EE,4979,I11,2005-02-09,2019-04-21,ProductX,"Product3,Product1",2,18990
219,605530,21,10-49 EE,5978,I27,2001-24-10,2018-03-07,ProductX,"Product3,Product2",2,26701
220,477350,95,50-99 EE,3099,I20,2010-13-07,2019-01-06,ProductX,Product1,1,7077
221,622606587,26,10-49 EE,2492,I13,2011-18-03,2018-01-12,ProductX,Product3,1,11976
222,341032694,141,100-499 EE,6641,I20,2000-21-06,2018-08-27,ProductX,"Product4,Product3,Product1",3,16320
223,472820,140,100-499 EE,2144,I21,2012-07-06,2018-04-21,ProductX,"Product2,Product3,Product1",3,30021
224,591329,7,0-9 EE,6326,I19,2001-03-12,2019-03-30,ProductX,"Product4,Product2",2,17675
225,2832033,13,10-49 EE,28995,I21,2098-14-10,2019-05-27,ProductX,"Product3,Product4",2,15494
226,651259129,5,0-9 EE,29555,,2099-20-01,2018-02-19,ProductX,"Product3,Product4",2,35041
227,621160338,225,100-499 EE,5991,I22,2003-15-03,2019-08-09,ProductX,"Product3,Product1,Product4",3,14299
228,383027618,150,100-499 EE,28950,I20,2098-25-04,2019-01-20,ProductX,"Product3,Product4,Product1,Product2",4,21903
229,624442288,23,10-49 EE,1016,,2015-28-08,2018-06-09,ProductX,Product1,1,9036
230,574753437,21,10-49 EE,1447,I25,2015-11-09,2019-08-28,ProductX,"Product4,Product3,Product2",3,14715
231,361743658,28,10-49 EE,6480,I24,2002-18-03,2019-12-14,ProductX,"Product4,Product2,Product1",3,14615
232,510955504,71,50-99 EE,6152,,2002-04-03,2019-01-06,ProductX,"Product3,Product1,Product2",3,11138
233,709959,31,10-49 EE,3512,I20,2009-11-10,2019-05-24,ProductX,"Product3,Product1,Product4",3,20567
234,447247,84,50-99 EE,1721,,2014-30-09,2019-06-17,ProductX,"Product2,Product4",2,9715
235,316609701,13,10-49 EE,1133,,2016-08-11,2019-12-16,ProductX,"Product4,Product1",2,6811
236,700600559,35,10-49 EE,5428,,2004-25-06,2019-05-06,ProductX,Product1,1,14262
237,560015448,18,10-49 EE,4058,I27,2008-24-02,2019-04-05,ProductX,"Product1,Product2",2,9639
238,487003930,26,10-49 EE,1755,,2014-14-09,2019-07-05,ProductX,"Product3,Product4",2,13468
239,500116323,965,500-999 EE,4880,I09,2006-16-06,2019-10-26,ProductX,"Product3,Product2,Product1,Product4",4,21855
240,162437524,15,10-49 EE,29697,I09,2099-07-07,2018-03-17,ProductX,"Product3,Product2",2,8116
241,653168,96,50-99 EE,2953,I13,2010-13-05,2018-06-13,ProductX,"Product4,Product2",2,23495
242,854768,22,10-49 EE,1671,I20,2014-15-05,2018-12-11,ProductX,"Product3,Product4",2,7689
243,515525985,33,10-49 EE,5898,I20,2002-27-05,2018-07-20,ProductX,"Product3,Product2",2,10934
244,627798163,17,10-49 EE,4540,I13,2006-22-04,2018-09-26,ProductX,"Product3,Product2",2,18080
245,469050690,8,0-9 EE,934,I26,2016-22-04,2018-11-12,ProductX,"Product3,Product1,Product4",3,25877
246,631099551,211,100-499 EE,28794,,2098-15-09,2019-11-15,ProductX,"Product3,Product4",2,20026
247,619986,15,10-49 EE,2719,I23,2011-17-11,2019-04-28,ProductX,"Product2,Product3,Product1",3,16096
248,696625694,6,0-9 EE,6432,,2001-04-06,2019-01-13,ProductX,"Product3,Product4",2,16013
249,631734806,45,10-49 EE,29102,,2098-24-08,2018-12-20,ProductX,"Product4,Product3,Product1,Product2",4,18442
250,562014,50,50-99 EE,664,I09,2016-08-11,2018-09-03,ProductX,"Product2,Product3,Product1,Product4",4,24022
