EmployerId,Employees,Industry,NetworkStrength,ZipCode,ClientStartDate
491509,17,,-0.1704,27609,09/20/15
716217,21,I20,-0.3149,40601,04/16/99
311511559,28,I12,0.2920,85022,06/25/02
629373,20,I23,0.5411,90017,11/13/02
636119055,87,I25,?,69145,01/28/98
486818,10,I16,0.8253,44136,08/05/15
445772,2,I13,0.3849,48170,01/03/11
246480012,56,I22,0.5733,12158,08/27/11
617679,2,I25,-0.1841,82935,10/27/03
662674,96,I13,0.5821,46204,10/09/03
94427560,5,I26,0.8537,94538,02/16/08
34713335,7,,0.3102,77450,11/05/00
349066732,149,I27,0.4195,83440,09/02/01
1694313,15,,0.8190,30309,03/14/14
443548211,17,I07,0.4146,32216,06/14/06
680337,20,I19,-0.6589,04122,07/27/11
621440554,33,I27,0.6770,92831,09/11/09
636119072,104,I25,-0.2850,69201,11/20/15
450424,20,I11,0.1183,08648,07/01/02
455349,42,,-0.2378,02493,03/25/04
175753041,151,I27,0.4868,97232,06/15/03
707550,3,I27,0.8067,48821,07/03/01
624780,36,I22,1.2193,43551,10/06/12
271103502,110,I24,0.6284,92120,07/12/01
653688,23,I23,0.2542,42304,04/18/08
289600134,20,I27,-0.1242,07631,02/10/99
423215649,30,I20,0.3200,37217,08/13/16
806289,99,I20,0.5923,45371,07/27/02
316376450,7,I09,0.9913,95765,11/19/15
23153220,27,I15,-0.4381,81506,07/28/13
5992864,14,I21,-0.7379,58208,09/17/15
527939,16,I20,0.2052,45050,10/14/04
204400710,4,I02,-0.2453,02190,09/10/00
527742,19,,-0.2462,53188,11/10/07
734642,6,I17,0.1815,60148,02/22/98
484644,56,I13,0.3918,10017,09/28/99
563496,2,I12,-0.5837,82070,03/27/06
768290,6,I09,0.6383,93907,08/23/07
539136,4,I21,-0.3161,58103,07/11/09
829801,11,I27,-0.2816,53717,07/03/99
625774191,17,I27,0.5411,90631,04/17/11
684631,12,I20,-1.2027,47025,12/15/13
719758,25,I15,0.6770,92835,07/19/05
732098,2,I11,0.5041,55331,07/12/13
277135461,8,I11,0.2225,21117,08/15/99
658390,2,I13,0.6887,96813,04/02/00
2255318,19,I20,-0.3161,58102,11/06/13
701481259,10,,0.0000,20759,12/12/00
331568371,11,I27,-0.2378,01852,01/11/10
790052,10,I16,0.4731,33610,01/13/08
571191228,44,I20,0.1530,98107,10/26/15
392303782,10,I22,-0.4994,24153,11/11/00
805238,9,I20,0.0034,48706,04/11/13
601832,45,I27,0.6859,48036,11/27/05
131117076,25,I13,0.8643,95864,07/27/16
659148435,21,I13,0.1056,60602,06/06/15
601289,36,I20,-0.5977,17109,10/28/03
570860,17,I27,0.2400,49022,03/02/99
557608291,56,I20,0.3381,46526,06/17/04
60663659,61,I24,-0.1424,60045,06/13/04
450764739,26,I12,0.0978,29615,12/01/12
573132,36,I01,0.3918,10022,12/10/10
508003,29,I15,0.2225,21237,08/02/11
624501119,205,,0.3200,37212,02/14/01
465565,14,I14,-0.3282,67063,06/24/11
99220066,66,I24,1.0284,30337,06/17/08
525854878,13,I11,0.7450,80123,03/26/02
445904279,59,,-0.0802,01588,02/03/06
618742621,823,I23,0.2681,87528,04/28/05
582351,11,I22,-0.1860,08876,09/08/16
497630497,8,I12,0.2946,07512,07/26/10
710488,23,I14,-0.3416,18049,04/23/00
397028022,29,I23,-0.5977,17109,03/05/16
626506,2,I11,?,04401,04/05/09
20102568,67,I26,-0.2294,58329,11/10/14
513148,4,I21,0.7129,48146,04/14/03
603466,31,I20,-0.4004,17345,07/07/15
633926681,28,,0.1905,08225,06/02/99
499677,3,I14,0.4332,22183,09/26/13
653639247,26,,-0.2416,76086,11/06/16
297069335,36,I03,0.8845,29210,12/18/99
494240,10,I24,-0.4597,61107,05/30/15
489108,13,I11,?,02860,12/01/00
495199783,54,,0.4332,95682,02/06/00
790219,70,I21,-0.2674,83002,09/15/06
566898359,176,I01,-0.6325,72211,03/03/06
680874,91,I22,0.1007,63132,04/19/12
601263492,43,,0.2819,23060,05/03/07
615839,13,I16,0.0655,08701,03/14/15
767951,50,I27,-0.5005,70601,12/17/05
347016222,28,I13,0.0389,85711,08/14/99
419877615,63,I22,-0.2378,01854,04/16/16
614565751,43,I26,0.5792,27834,07/05/15
745290,124,I20,-0.5545,73127,08/07/03
794874,4,I14,0.4933,10595,08/30/99
461597,34,I19,0.4332,22310,08/23/05
478920284,10,I09,-0.2453,02066,06/06/00
619523,22,I21,-0.6589,04122,12/08/98
656628018,117,I13,0.1530,98101,03/15/03
456555196,155,I26,2.3050,57716,04/29/08
685351,43,I27,0.0670,56537,02/06/10
555473,45,I18,-2.1151,70037,09/07/01
473706,5,I03,-0.4178,29577,12/30/11
381451931,53,I16,0.4125,95038,10/28/12
144273854,2,I15,0.2655,55306,05/19/06
639831,2,,-0.0333,06032,04/21/06
692022,30,,-0.2378,02459,06/07/12
562063,179,I16,0.1839,14534,04/15/12
781181,15,I16,-0.2225,50461,01/30/08
701193,8,I13,0.3200,37219,08/16/05
529591,4,I20,0.5114,97132,08/23/99
451295,4,I12,-1.2589,28806,10/21/01
566465678,41,,0.5821,46204,02/06/00
668042,12,I15,-0.2462,53018,05/21/15
639788605,105,,0.2475,32092,06/10/99
293993659,10,I12,0.1490,75252,06/07/12
821883,10,I16,0.1354,96793,07/17/05
597150,18,I08,0.4798,01089,01/11/11
671597645,39,,-0.0188,01960,07/10/01
220434864,14,I24,0.5768,11801,04/07/07
157780935,10,I24,0.2965,20901,09/04/00
339605934,71,I07,-0.3000,50704,09/21/03
525887,54,I22,0.6284,92106,05/27/10
592235,35,I27,0.2923,20017,11/24/03
532732,17,I25,-0.9347,78504,07/27/15
772989,1409,I27,-0.1704,27601,05/12/08
667985651,5,,0.5411,91746,02/19/08
274052000,90,I19,0.6996,80538,04/26/04
618858419,10,I13,0.3918,10005,02/15/11
694043,27,I22,-0.1406,60123,03/29/02
784067,55,I20,-0.3875,50801,01/06/99
598475,33,I20,-0.0594,17543,01/11/12
509732597,12,I12,0.4332,22033,05/27/13
319410956,641,I27,0.5411,23225,12/23/07
669514,5,I27,0.0031,19317,12/28/11
702289,198,I02,0.1056,60661,07/30/04
737584,41,I20,0.1882,64132,07/17/05
664794,39,I11,0.1011,77002,10/21/05
266085092,156,I18,0.4721,80202,04/11/12
453271,21,I27,-0.0176,32653,10/20/16
619128,11,I20,0.4125,95008,02/02/05
544255125,8,I27,0.0536,77573,01/13/98
550362,45,I27,0.0389,85705,05/22/01
705820,64,I22,0.1011,77095,03/30/99
31115321,35,I22,-0.2453,18031,04/19/10
16609984,5,I14,0.2401,28204,04/25/98
840645,82,I20,0.3749,75081,03/25/16
534947011,3,I18,-0.6413,82602,08/29/08
553004,9,I12,-0.1124,55435,06/23/09
107617266,26,I22,-0.1424,60044,05/02/10
596131372,36,I19,0.2259,21060,04/09/13
234403671,16,I20,0.5411,90503,01/22/04
661344,71,I20,2.1135,57025,02/17/00
403499969,11,I22,-0.2462,53051,10/04/03
702722,27,I26,0.9784,30149,11/25/00
467923174,41,I11,0.1056,60090,01/15/12
698413376,280,,0.8190,30336,12/08/06
499920,715,I25,-0.7607,28602,01/20/15
548787845,3,I27,-0.3310,50522,12/22/99
661697,5,I15,-0.3982,36106,12/18/05
555550,57,I16,0.4645,95350,12/18/13
439626144,127,I26,-0.2937,75436,08/09/12
579371932,4,I21,-0.2887,36066,07/02/15
183362696,205,I12,0.4648,33410,08/05/12
393672163,19,,0.2401,28211,12/25/99
395120892,37,I27,-0.2097,15234,12/25/06
462185,27,I12,-0.2453,02062,04/27/00
641005167,35,,0.3749,75206,11/05/10
733766,88,I26,-0.3338,79009,03/30/14
542296,13,I20,0.8190,30327,04/26/99
661588513,25,I09,0.7075,33331,02/26/16
292925363,29,I20,0.0561,53208,03/28/04
734439,5,I14,-0.8657,27406,08/08/01
680679,6,I11,0.7075,33324,02/10/10
570948,52,I27,0.0397,37409,11/30/10
605545118,17,,0.3493,19082,06/18/13
477424,7,I13,0.2208,37901,03/09/04
320861915,23,I21,-1.0010,56001,04/12/07
305326715,37,I11,0.4338,03301,04/24/09
535428217,41,I20,-0.3561,49112,02/22/07
642928,13,I27,0.8845,46012,10/02/99
449229,50,I21,0.5958,55352,07/31/14
544599690,234,I25,-0.0801,07940,12/28/06
838931,11,I27,0.2923,20024,07/28/08
555985,7,,0.1126,46748,06/12/16
494864005,64,I21,-0.8504,75505,05/25/09
459258,22,I02,0.0558,94103,12/31/00
598373,7,I12,0.2339,97005,07/14/12
652063,50,I12,0.2514,33901,09/02/09
438899,2,I16,0.5768,11520,10/20/08
807532,5,I11,0.0561,53226,08/03/09
183269188,54,I25,-0.8641,27051,07/31/11
726101,222,I26,-0.4560,05819,03/03/07
633421,14,I13,0.7650,61081,10/21/11
435239,33,I21,-0.2453,19609,08/31/16
657515,4,I27,0.3246,49024,01/08/09
166381013,31,I24,-0.7312,30907,12/12/04
444434169,165,I27,-0.5883,55901,03/15/11
433207,4,I11,0.5516,11101,05/29/05
436687,4,I27,0.0978,29681,11/18/11
593933661,24,I27,-0.4912,39819,05/02/01
679802,55,I27,0.1530,98121,02/22/00
570727,5,I22,0.5411,90670,11/06/11
439955,17,I19,0.3855,41051,03/05/07
60509769,87,I27,-0.0555,02119,07/02/10
601554,10,I27,0.6117,40207,07/12/14
564665518,14,I27,0.6609,13904,02/13/14
709619,51,I13,-0.5977,17110,11/02/14
235616965,99,I20,-0.0801,07054,04/14/12
504926794,17,I22,0.8078,95206,10/24/98
479474,28,I23,0.1750,20176,07/14/07
231138985,32,I25,0.5411,90045,08/20/06
867355,3,I13,0.2225,21201,08/13/00
269476973,538,I22,0.6324,32073,01/24/15
743701,4,I08,0.4731,33629,04/28/99
510027055,452,I20,-0.2378,02451,04/12/06
554860996,2606,I26,0.1805,76022,03/27/13
393240268,16,I23,-0.9347,78577,04/30/98
735282,17,,0.4868,97205,04/30/03
273003784,18,I13,0.6770,92782,04/13/06
470892,13,I27,-0.2097,15213,03/04/07
500187,34,,0.2401,28104,05/01/14
161056833,111,I02,0.6907,48322,04/03/00
668113,2,I07,0.2014,06830,01/10/98
764275,17,I19,-0.3488,73107,04/19/10
756331,17,,0.1530,98047,01/18/03
475204819,14,I11,0.4332,22043,10/19/10
792576,44,I12,-0.5005,70601,12/09/13
194168834,11,I11,0.1056,60606,01/16/10
616274,125,I27,0.3413,78664,03/11/10
501316,543,I14,0.3918,10016,04/25/09
532713183,13,I11,0.0000,21794,12/29/07
782053,4,I27,0.4332,20171,04/13/09
536298300,658,I20,-0.5895,27560,07/26/09
554287,123,I26,0.5766,43220,12/16/13
831217,11,I25,-0.5026,67878,10/23/04
558305264,34,I20,0.7818,45439,11/19/98
362876164,1007,I20,0.6907,48326,12/16/08
499084,46,I27,0.4163,38002,12/23/98
637061590,330,I25,-0.8643,68410,08/25/08
435004,16,I27,0.3918,10001,05/09/02
53181946,18,I22,0.3578,99202,12/06/12
767788,41,I25,0.3918,10005,02/01/01
110973130,750,I27,0.1007,63045,10/20/10
363659067,24,I27,0.5411,90210,05/06/13
603077,30,I27,-0.5945,79604,05/13/08
532625,1,I20,-0.8757,38556,12/11/04
459343,14,I13,-0.2097,15222,03/30/10
581310,8,I11,0.6907,48390,05/17/06
694244,61,I21,0.4454,93463,10/09/10
838612,7,I02,0.1490,75252,07/11/16
769487,138,I27,0.1147,34108,06/21/09
534300,5,I11,0.5766,43085,11/25/04
809559,73,I26,0.7132,49509,05/29/00
769649,5,I27,0.2691,22209,03/28/12
866898,199,I26,-0.0188,01921,09/02/16
485115,9,I27,0.8483,92201,07/01/99
775776,12,I14,-0.5999,04061,11/17/01
750278,45,I27,0.5746,47804,07/02/15
324871092,26,I12,-0.8555,28546,09/04/16
342177390,107,I22,0.3485,08840,04/29/00
646895,15,I22,-0.3407,31408,03/17/00
656580673,49,,0.5053,29642,11/08/00
221964957,12,I22,0.2920,85023,09/24/05
715235,11,I12,0.5766,43215,05/16/11
480282346,595,,0.4731,33610,08/03/07
478405,19,I27,-0.0802,01538,09/23/13
691609,35,I09,0.5411,91361,05/17/03
674877,95,I23,0.3200,37064,05/18/14
650683414,28,I20,0.7818,45066,08/28/09
405473926,10,I27,-0.1798,78839,04/21/04
693710618,70,,0.8537,94560,01/12/13
826681,7,I20,0.4039,28098,04/17/01
814428,62,I13,0.1530,98101,05/20/98
485739755,14,I20,-0.1424,60081,04/15/01
657598591,101,,0.1805,76114,10/14/09
600840117,76,I20,0.8537,94621,02/07/16
497505186,112,I19,0.1805,76013,03/28/99
844518,2,,0.4381,08077,10/23/07
650558609,29,I27,1.2193,43551,06/17/99
542489031,27,I20,-0.1515,37303,05/04/08
837511,15,I15,-0.1124,55343,10/26/05
478170,4,,0.7379,14830,11/04/15
654289,13,I27,-0.0671,48415,09/24/10
494201,110,I27,0.6907,48071,10/30/98
672932954,12,,0.7062,30341,01/14/16
475703,34,I12,0.6907,48346,03/27/16
357939955,9,I25,-0.0802,01605,07/10/03
737490,27,I07,0.8253,44113,09/29/15
634731439,28,,-1.2104,76301,08/04/03
866344,17,I25,0.7319,10940,09/22/12
453021117,53,I26,-0.6589,04084,08/14/09
705641900,35,,-0.4649,04210,12/05/08
387214971,13,I02,0.2229,38018,03/16/98
594290929,5,,0.5411,90066,08/07/15
703928,17,I24,?,01550,02/02/10
483038,3,I27,1.0171,58577,03/04/12
621681,3,I07,?,01451,02/28/09
367233397,12,I20,-1.3177,55027,09/25/04
634005058,44,I27,0.5027,96019,08/09/15
555256,18,I02,0.6770,92660,01/27/11
266273458,15,I26,0.7242,10471,08/18/15
576990,3,I20,0.7905,44062,05/07/08
694479812,42,,-0.2305,67206,03/10/03
514647361,11,I20,-0.2097,15275,01/19/08
507680,19,I27,-0.1249,78212,01/23/03
174524164,78,I02,0.8253,44109,11/15/01
622331,6,I27,0.3749,75226,09/23/01
376488051,157,I05,-0.3416,18103,03/28/07
850900,3,I24,0.0031,19341,06/18/06
496817180,222,I02,-0.0701,15437,01/16/10
723364,66,,-0.4842,51503,01/11/99
643609023,48,I27,0.0849,99501,07/10/06
629967,2,I13,?,08221,03/23/13
686273,3,I25,0.1056,60459,01/30/00
265122348,48,I27,0.5411,90045,05/04/01
779743,3,I13,-0.6023,29812,11/29/16
271937680,15,I12,0.6430,33544,02/08/09
534644865,155,I21,-0.6972,79927,07/29/98
528069294,17,I27,-0.1531,65101,02/28/06
738682,15,,0.5411,90602,05/10/04
356884620,5,I27,0.3413,78755,01/30/07
793506,29,I26,-0.0801,07960,04/05/16
829689,16,I27,0.2370,19446,10/07/04
580201,17,I22,-0.4492,17055,05/11/15
597953,11,I19,0.2014,06902,04/05/98
790632,135,I12,-1.5141,59101,10/29/02
689891,11,I27,0.7286,33702,04/25/16
151874052,6,I27,0.6648,14228,04/29/15
654020,7,I16,0.4721,80264,06/14/98
557572,6,I07,?,04122,10/20/01
832559,19,I02,-0.2378,02459,02/13/00
306737513,16,I19,-0.3161,58078,05/22/16
384456866,167,I16,0.6907,48084,09/09/07
629906,65,I27,-0.4326,14424,02/14/01
723754,107,I23,-0.0383,54456,07/31/07
254447236,199,I19,-1.2302,79761,12/13/08
248392031,168,I27,-0.2305,67226,12/18/14
491899425,15,I23,-0.4178,29569,03/04/10
483960,9,I13,-0.5977,17110,11/22/11
376830643,22,I27,-0.1124,55425,01/18/06
744996,14,I23,0.4545,28043,09/21/05
445533,8,I12,0.2976,23454,11/17/99
578284,5,I27,0.7577,94582,06/08/12
630844820,25,I24,0.3918,10022,11/05/13
627905,24,I12,0.7194,33173,02/07/13
594487131,100,I19,0.4332,20151,05/18/08
595920,3,I25,?,67572,03/12/01
681954,17,,0.7648,41071,02/03/04
642332,55,I02,0.1056,60706,05/03/10
66115516,9,I27,0.3918,10016,05/29/14
650523687,45,I24,0.0031,19087,02/20/98
756802,4,I13,0.5411,91361,03/18/04
632694410,27,I27,?,30525,10/25/09
680343,11,I21,0.4556,44864,05/26/14
686001601,11,,0.3918,10013,04/25/15
349222271,99,I26,0.6473,79733,10/11/05
593354,13,I04,-1.3195,75670,07/14/07
783099,31,I13,0.5114,97035,10/27/14
422275337,331,I26,-1.0936,75418,05/24/01
681517,4,I13,-0.5433,15501,10/03/13
616599421,45,,0.4552,97309,02/13/08
516145,6,,0.1895,29466,05/08/00
156690349,5483,I20,0.1011,77002,01/28/07
568917712,17,I27,0.6648,14075,01/16/09
584187455,8,I12,-0.3488,73112,06/16/14
358938340,18,I15,0.5766,43206,09/18/09
40724237,33,,-0.1249,78254,12/21/00
126220048,3,I02,-0.2488,32514,03/27/06
404708259,16,I27,0.5313,55003,11/12/04
729785,53,I11,-0.0801,07932,11/15/10
265395329,63,I27,0.1056,?,07/14/03
442111017,36,I16,0.0034,48707,03/26/16
842011,268,I27,-0.1444,73189,07/27/14
511851247,53,I20,-0.8657,27317,10/30/99
175755132,39,I20,0.9763,30401,03/27/02
303023320,7,,0.2225,21219,05/21/01
450677244,76,I26,0.5411,90012,12/17/14
681795871,7,I13,0.5957,93003,12/27/13
462394148,19,I22,-0.2453,19512,08/11/14
195520632,8,I16,-0.1424,60035,07/20/01
847223,2,I16,-0.2777,01201,10/26/06
686828293,34,,-0.1254,36862,10/26/12
535307192,49,I27,0.6928,27577,04/01/13
616753195,32,I15,0.6284,92109,12/19/03
233596484,37,I27,-0.2097,15237,06/19/00
676968218,7,,-0.0333,06103,05/14/16
549241,10,I16,-0.2453,02184,09/25/11
502787,14,I27,0.4239,93704,03/26/16
441976,4,I23,0.0470,35611,07/19/08
483595,3,I02,0.8190,30308,08/05/05
344331884,9,I15,0.2401,89074,05/18/01
593749649,6,I21,0.5411,90086,11/01/06
228150444,878,I11,0.4333,15701,03/08/08
404598903,27,I27,-1.4952,56470,02/14/12
651566455,12,,0.4454,93455,12/19/07
760216,2,I02,0.6907,48076,07/12/98
755987,12,I19,0.4125,95131,10/21/03
630879,114,I23,-0.0594,17516,03/06/05
787528,29,I27,-0.1242,07649,03/14/99
621016,103,I25,0.0191,02915,10/18/99
678985,164,I22,0.1056,60525,06/16/16
524300,2,I16,-0.4004,37876,01/22/11
217880692,214,I20,0.1056,60090,03/08/01
786604,6,I15,-0.5635,57104,06/03/11
488619,7,I12,-0.1249,78258,03/14/02
553348,20,I09,0.1011,77060,07/20/16
445481079,24,I19,-0.2453,02189,10/27/05
124447906,7,I23,0.6284,92109,12/17/11
785310,71,I27,1.2290,37323,02/04/10
151853125,25,I21,0.2465,45251,11/17/10
385213118,154,I22,0.6770,92614,06/25/07
331195564,16,I11,-0.1860,08822,01/09/04
634157897,9,,-0.5895,27701,01/16/00
493078051,910,I25,0.7650,61081,08/17/11
36811036,28,I19,-0.3338,58631,06/18/01
550599,13,I09,0.3485,08830,02/26/03
665676,2,I22,0.0983,08021,07/25/98
23609661,32,I24,0.3595,41017,02/18/01
631833,10,I12,1.0126,13440,01/26/11
734379,14,I20,0.1007,63043,04/01/10
661746,30,I27,-0.2378,01862,08/19/06
497656435,15,I26,-0.1613,71302,11/16/00
543774,4,I20,?,04093,05/24/09
488875,10,I23,0.2017,72479,11/22/98
572582349,5,I09,0.8537,94542,06/01/99
607037,34,I22,0.9428,45311,01/17/10
600024299,10,I22,0.6770,92673,02/11/16
577076532,24,I27,0.4896,84102,10/03/16
615185874,6,I23,-0.0555,02111,10/06/03
701437781,713,,-0.8657,27401,11/30/11
650554824,3391,I26,1.3643,30134,05/07/14
564699395,18,I27,-0.0040,21014,08/04/08
551284657,6,I23,0.6770,92867,11/18/02
345489801,265,I26,0.5210,77612,01/24/11
453997317,2,I27,0.4239,93612,03/07/05
315040996,2,I20,0.6277,95060,01/13/04
589509829,6,I11,0.8537,94545,12/18/11
736715,16,I22,0.0397,37422,03/14/12
711765,47,I20,0.5948,37345,06/03/02
675737,2,I15,-0.7015,07860,01/13/04
592108109,208,I09,0.0000,54806,06/03/11
566682,37,I27,0.2935,19901,03/06/05
661584736,178,I07,0.2785,19102,11/14/05
400561264,8,I22,1.0284,30354,08/17/99
394711152,11,I12,0.2834,31792,04/17/11
627697,12,I22,0.8190,30303,03/09/03
681779375,69,,-0.6882,50122,06/12/08
568473,3,I14,0.2923,20006,02/25/03
665446302,13,,-0.1544,47725,09/14/01
568935,21,I20,-0.0574,15672,12/08/06
295437975,78,I19,-0.0671,48439,06/22/14
457480,10,I15,-0.5490,29696,02/08/03
639184,205,I18,0.4721,80265,04/18/02
509433403,105,I25,?,58601,02/04/00
364472580,62,I20,-0.4799,53177,09/02/00
187271727,20,I19,0.3413,78728,10/26/16
761408,55,I13,0.8253,44114,12/25/14
578551127,13,I12,0.4496,94401,12/05/16
650662682,10,,0.5411,91601,11/09/14
735902,11,I20,0.2655,55033,05/19/02
732619,23,I01,-0.3004,78052,12/28/08
650503757,7,,0.6770,92805,09/05/11
505029,2,,0.5411,91403,09/11/16
826861,28,I21,-0.1242,07071,12/15/08
395988500,11,I27,0.2294,56296,09/07/08
628704,39,I09,0.8537,95035,11/06/10
465310786,301,I21,-0.0188,01826,02/06/07
348642960,2,I09,0.7903,30180,01/06/08
439264,1,I10,-0.2453,19464,03/22/04
385035877,69,I20,0.1056,60067,10/19/07
279363339,17,I21,-0.2816,53711,01/16/05
634134,250,I19,-0.6972,79922,06/14/02
640237,14,I27,1.1214,49449,10/19/10
509379,25,I14,-0.8001,97333,08/06/05
604915596,176,I16,0.3749,75081,07/28/03
842430,10,I14,-0.0801,07046,12/04/04
392083223,38,I13,0.2819,23230,01/16/03
649602430,2505,I10,-1.0853,35806,12/02/08
779096,79,I21,0.4125,94089,12/29/06
628769,5,I19,0.0031,19382,09/20/06
764107,9,I19,0.1056,60155,02/14/02
499099,23,I22,0.2078,04769,12/14/11
85369035,71,I07,0.5272,43128,11/12/10
698697381,1202,,0.3394,68130,08/02/00
543553,44,I13,-0.1424,60085,02/19/02
192034504,28,I22,0.1815,60559,06/23/12
240178483,28,I27,-0.4309,35209,02/26/09
501387538,50,I27,0.3793,07723,04/28/06
754708,6,,0.2465,45247,11/24/02
177305015,24,I24,0.6648,14227,07/25/08
563542248,28,I20,0.6648,14227,05/12/98
571565,46,I24,0.2465,45236,07/27/01
207857187,7,I20,0.2229,38103,02/12/00
821131,355,I27,0.0561,53214,10/03/08
866282,2010,I07,0.6297,22314,06/02/05
662622,32,I20,-0.1406,60110,03/30/98
60313623,23,I24,0.2225,21030,04/15/08
768119,15,I12,-0.4004,17339,09/01/11
305332669,11,I20,0.6770,92673,03/01/16
454171,36,I25,0.3078,87505,11/07/00
591571408,31,I19,0.4789,32750,01/06/00
629620,14,I01,0.2319,62293,01/31/13
339981839,22,I27,0.4264,37738,04/26/01
690394035,123,,-0.6413,82601,08/13/10
515263,75,I02,0.1530,98005,07/05/12
868054,5,I24,-0.0188,01915,10/11/09
725056,11,I02,0.7062,30328,05/26/12
240052058,25,I20,0.5957,93003,07/23/98
611022,48,I13,-0.2531,18711,09/09/06
579189,11,I13,0.5411,91436,08/06/13
866697,2266,I26,-0.5635,57103,10/03/12
796671,8,I25,-0.6463,15074,05/31/13
580240,22,I27,0.3749,75238,12/30/13
608997208,33,,-0.5193,49720,08/03/06
257551632,3,I20,0.8537,94588,10/08/08
455257117,66,I11,-0.4492,17015,07/04/15
589062,61,,0.4685,46580,10/12/09
662671,57,I14,-0.3616,53066,11/05/14
683248,9,I26,-0.7034,35640,06/27/05
117359796,120,I20,-0.1124,55403,02/19/02
666313326,158,,-0.4649,04240,02/27/12
525130,5,I27,-1.0744,24064,09/18/05
823745,24,I24,0.3749,75225,12/07/09
277166120,101,I27,-0.2305,67037,11/20/00
786523,10,I12,-1.3511,56377,03/19/05
600207,25,I26,0.4542,11930,11/21/14
452210,11,I19,0.1790,06460,04/16/00
295375043,13,I22,0.1056,60629,05/04/01
507200670,30,I13,0.1056,60606,04/13/15
802284,6,I17,2.3302,57369,08/09/01
628483172,28,,-1.2589,28806,10/10/98
589753103,14,I20,0.6277,95073,07/19/12
2393018,14,I09,-0.2453,02062,06/11/99
544874052,9,I19,-0.4819,28103,11/14/10
475382433,14,I20,0.8483,91708,02/10/01
557555,7,I22,0.4798,01107,12/01/10
621515927,17,I19,0.0031,19365,09/25/98
225710571,22,I25,-0.3161,58103,02/03/13
41115065,5,I20,0.1790,06716,12/05/12
563563,226,I27,-1.1118,50129,08/18/15
539418,2,I13,0.5190,34741,10/14/03
495779,13,I13,0.2923,20036,01/04/00
419729880,15,I20,0.4985,34237,12/09/03
596331288,62,I13,0.0558,94104,01/30/98
674039,2,I07,-0.4858,28601,05/18/01
8194383,36,I27,0.2394,02740,01/25/05
711419296,10,,-0.3616,53027,11/04/03
852075,12,I20,0.4338,03301,11/18/06
530909,48,I13,-0.3588,70130,07/29/11
595800740,19,I23,0.1530,98104,10/15/98
391422886,12,I07,-0.0594,17551,07/01/00
462657,5,I07,?,08550,01/28/15
581907610,23,,0.2259,21054,12/21/13
479012,4,I16,-0.2378,01801,01/13/11
9934475,307,I15,0.3793,07748,04/12/03
507744603,17,I20,-0.1124,55413,10/15/09
760025,20,I23,?,04122,07/11/08
25826052,10,,-0.0188,01915,10/13/98
547886,47,I11,0.2920,85027,12/05/02
57155262,24,I09,0.1815,60148,08/01/09
363790699,63,I22,0.2370,19406,02/16/15
